gene ID,log2_foldChange,p_value,adjusted p_value,rotein ID,locus tag,Annotation,,
gene-M8001_RS01670,0.14637794,0.856482618,0.964552318,WP_049588082.1,PP_0312,electron transfer flavoprotein subunit alpha/FixB family protein,,
gene-M8001_RS01760,0.551457124,0.107890783,0.439480177,WP_049588087.1,PP_0330,DUF2780 domain-containing protein,,
gene-M8001_RS18875,-0.483282627,0.16368244,0.534310294,WP_049588097.1,PP_5608,hypothetical protein,,
gene-M8001_RS18870,-0.139756648,0.69997764,0.90856854,WP_049588099.1,PP_5607,DUF998 domain-containing protein,,
gene-M8001_RS03190,0.241186764,0.434977088,0.781812705,WP_049588113.1,PP_5745,paraquat-inducible protein A,,
gene-M8001_RS03370,-0.010513798,0.949119689,0.990548964,WP_049588119.1,PP_5447,hypothetical protein,,
gene-M8001_RS03375,0.249234405,0.508369741,0.82758328,WP_049588121.1,PP_0629,energy-coupling factor ABC transporter permease,,
gene-M8001_RS03315,-0.271006746,0.478044892,0.810320413,WP_049588123.1,PP_0623,23S rRNA pseudouridine(1911/1915/1917) synthase RluD,,
gene-M8001_RS13715,0.122630198,0.636813146,0.885868034,WP_049588127.1,PP_2611,hypothetical protein,,
gene-M8001_RS13650,-0.207385991,0.5381339,0.842984897,WP_049588130.1,PP_2597,TetR/AcrR family transcriptional regulator,,
gene-M8001_RS13640,0.192337012,0.55868008,0.855499212,WP_049588131.1,PP_2595,ABC transporter ATP-binding protein/permease,,
gene-M8001_RS13595,-0.922242428,0.024541851,0.205552778,WP_049588137.1,PP_2586,APC family permease,,
gene-M8001_RS13585,0.746034484,0.026534435,0.216338566,WP_049588139.1,PP_2584,8-oxoguanine deaminase,,
gene-M8001_RS11685,0.109184338,1,1,WP_049588163.1,PP_2236,alpha/beta fold hydrolase,,
gene-M8001_RS11660,0.871895662,0.008963541,0.110126282,WP_049588164.1,PP_2231,DMT family transporter,,
gene-M8001_RS22520,-0.158781376,0.665271985,0.897927888,WP_049588187.1,PP_4302,urea transporter,,
gene-M8001_RS22390,-0.362356075,0.255046452,0.633115027,WP_049588192.1,PP_4275,cell division protein ZipA,,
gene-M8001_RS22355,0.541515323,0.151894545,0.518368695,WP_049588194.1,PP_5670,hypothetical protein,,
gene-M8001_RS22305,-0.667944182,0.034795044,0.257532683,WP_049588199.1,PP_4261,heavy metal translocating P-type ATPase,,
gene-M8001_RS22210,0.706348912,0.065723123,0.352822277,WP_049588202.1,PP_5669,ATP-binding cassette domain-containing protein,,
gene-M8001_RS22205,-1.060108031,0.017751228,0.1687175,WP_049588204.1,PP_5668,hypothetical protein,,
gene-M8001_RS22165,-0.492843344,0.221584513,0.594806842,WP_049588208.1,PP_4234,xanthine dehydrogenase family protein molybdopterin-binding subunit,,
gene-M8001_RS22125,0.46303196,0.447633162,0.791779607,WP_049588209.1,PP_5664,DUF1851 domain-containing protein,,
gene-M8001_RS21785,-0.115518997,0.686937891,0.904672871,WP_049588226.1,PP_4160,potassium-transporting ATPase subunit KdpB,,
gene-M8001_RS21755,-0.267263424,0.35690191,0.72379097,WP_049588229.1,PP_4154,aminotransferase,,
gene-M8001_RS21690,0.237067175,0.430751498,0.779896363,WP_049588234.1,PP_4140,lysine decarboxylase,,
gene-M8001_RS21265,0.474894666,0.258978803,0.637429903,WP_049588257.1,PP_4057,autotransporter outer membrane beta-barrel domain-containing protein,,
gene-M8001_RS21185,-0.148086348,0.663564332,0.897130899,WP_049588264.1,PP_4041,glycoside hydrolase family 15 protein,,
gene-M8001_RS21160,0.088717162,0.861956741,0.966382386,WP_049588266.1,PP_4036,dihydropyrimidinase,,
gene-M8001_RS26640,0.181758316,0.540882386,0.844501583,WP_049588303.1,PP_5068,YdiU family protein,,
gene-M8001_RS27465,-0.312940639,0.295813913,0.671444221,WP_049588339.1,PP_5228,diaminopimelate epimerase,,
gene-M8001_RS27545,-1.503701141,6.73838E-05,0.002835552,WP_049588349.1,PP_5241,response regulator,,
gene-M8001_RS27670,-0.120988826,0.788898012,0.940047916,WP_049588356.1,PP_5266,acetyl-CoA hydrolase/transferase family protein,,
gene-M8001_RS27675,0.285726005,0.43217015,0.780699569,WP_049588358.1,PP_5728,RHS repeat-associated core domain-containing protein,,
gene-M8001_RS28350,-0.134005015,0.713966855,0.913254957,WP_049588370.1,PP_5738,ATP-binding protein,,
gene-M8001_RS28345,0.236080182,0.525652729,0.834210627,WP_049588372.1,PP_5737,hypothetical protein,,
gene-M8001_RS28240,3.011507788,4.05416E-14,1.51104E-11,WP_049588384.1,PP_5379,copper resistance protein B,,
gene-M8001_RS27975,-0.398292841,0.186728504,0.558835412,WP_049588393.1,PP_5328,ABC transporter permease subunit,,
gene-M8001_RS00690,0.172532963,0.836987964,0.959025735,WP_049588414.1,PP_5428,hypothetical protein,,
gene-M8001_RS00550,-0.999644662,0.076969967,0.377850695,WP_049588418.1,PP_0107,SURF1 family protein,,
gene-M8001_RS00480,0.324327542,0.345518722,0.716300815,WP_049588425.1,PP_0093,aminopeptidase,,
gene-M8001_RS00400,0.694782671,0.074238858,0.372479195,WP_049588430.1,PP_0076,choline ABC transporter substrate-binding protein,,
gene-M8001_RS28390,0.034231073,0.982747203,1,WP_049588460.1,PP_5740,hypothetical protein,,
gene-M8001_RS05280,0.352050647,0.375641274,0.740795417,WP_049588480.1,PP_1006,TonB-dependent receptor,,
gene-M8001_RS05830,-0.122579294,0.66995029,0.899373306,WP_049588519.1,PP_5464,hypothetical protein,,
gene-M8001_RS03470,0.553150991,0.264636282,0.644364032,WP_051122507.1,PP_0645,hypothetical protein,,
gene-M8001_RS13370,0.345065926,0.28972601,0.667297095,WP_051122553.1,PP_5536,RHS repeat-associated core domain-containing protein,,
gene-M8001_RS16825,0.692512703,0.106585642,0.437586734,WP_051122564.1,PP_5590,DUF1329 domain-containing protein,,
gene-M8001_RS19305,-0.299498501,0.362414648,0.728739744,WP_051122574.1,PP_5614,hypothetical protein,,
gene-M8001_RS19435,-0.979231315,0.00193846,0.038313964,WP_051122575.1,PP_5623,hypothetical protein,,
gene-M8001_RS21220,-0.034419687,0.856102549,0.964552318,WP_051122585.1,PP_4048,hypothetical protein,,
gene-M8001_RS21380,-0.447971545,0.416172488,0.771708615,WP_051122586.1,PP_4081,type IVB secretion system protein IcmH/DotU,,
gene-M8001_RS27365,0.819008681,0.036761425,0.267555896,WP_060489058.1,PP_5722,type II toxin-antitoxin system PemK/MazF family toxin,,
gene-M8001_RS13610,-0.23817849,0.541936999,0.845138971,WP_060489779.1,PP_2589,aldehyde dehydrogenase,,
gene-M8001_RS01985,-1.855402707,0.000122725,0.004509713,WP_061405558.1,PP_5444,heparin lyase I family protein,,
gene-M8001_RS02600,0.920547772,0.037638841,0.268987018,WP_061405561.1,PP_0489,formate dehydrogenase-N subunit alpha,,
gene-M8001_RS03930,0.693010541,0.12044356,0.461096474,WP_061405570.1,PP_0731,CDP-alcohol phosphatidyltransferase family protein,,
gene-M8001_RS05355,0.223716732,0.496146381,0.821708,WP_061405576.1,PP_1021,DNA-binding transcriptional regulator HexR,,
gene-M8001_RS05825,0.675013441,0.086510049,0.395916523,WP_061405577.1,PP_5462,hypothetical protein,,
gene-M8001_RS07120,-0.568757627,0.06224536,0.342693688,WP_061405584.1,PP_5468,hypothetical protein,,
gene-M8001_RS07660,0.150857024,0.843904644,0.961209514,WP_061405586.1,PP_1473,DUF3509 domain-containing protein,,
gene-M8001_RS07765,-0.310670711,0.439199055,0.784602292,WP_061405587.1,PP_1495,peptide chain release factor 2,,
gene-M8001_RS09855,0.242690266,0.495843356,0.821708,WP_061405595.1,PP_5481,DUF2062 domain-containing protein,,
gene-M8001_RS09975,0.28209596,0.332821382,0.708126334,WP_061405596.1,PP_5482,hypothetical protein,,
gene-M8001_RS10055,-0.216173493,0.481608382,0.811965279,WP_061405598.1,PP_1932,DUF2321 domain-containing protein,,
gene-M8001_RS11230,-0.242143058,0.483632096,0.813567312,WP_061405610.1,PP_2146,DEAD/DEAH box helicase,,
gene-M8001_RS13175,0.769622458,0.099902756,0.423960777,WP_061405625.1,PP_5530,hypothetical protein,,
gene-M8001_RS14775,0.287759966,0.469760068,0.805194346,WP_061405631.1,PP_5539,hypothetical protein,,
gene-M8001_RS15355,0.230170674,0.521533631,0.834006279,WP_061405633.1,PP_5541,hypothetical protein,,
gene-M8001_RS15435,0.347622379,0.382792902,0.747455575,WP_061405635.1,PP_5543,hypothetical protein,,
gene-M8001_RS15785,0.272602823,0.390796732,0.75274173,WP_061405639.1,PP_5551,hypothetical protein,,
gene-M8001_RS16330,-0.270876901,0.512038877,0.82975741,WP_061405652.1,PP_5580,protein of unknown function,,
gene-M8001_RS17205,0.594342392,0.24948948,0.627193188,WP_061405658.1,PP_5597,hypothetical protein,,
gene-M8001_RS18185,0.7685603,0.086141598,0.395916523,WP_061405661.1,PP_3468,hypothetical protein,,
gene-M8001_RS18280,-0.037242563,1,1,WP_061405662.1,PP_3486,ABC transporter substrate-binding protein,,
gene-M8001_RS19295,0.951229109,0.110883993,0.445175776,WP_061405665.1,PP_5613,hypothetical protein,,
gene-M8001_RS19310,-0.225930665,0.499719081,0.823392922,WP_061405666.1,PP_5615,hypothetical protein,,
gene-M8001_RS19445,-0.743633321,0.010962716,0.124719853,WP_061405669.1,PP_5624,hypothetical protein,,
gene-M8001_RS19465,0.038889033,1,1,WP_061405670.1,PP_5625,hypothetical protein,,
gene-M8001_RS19890,-0.123906057,0.75351156,0.928840491,WP_061405672.1,PP_5629,DJ-1/PfpI family protein,,
gene-M8001_RS21405,0.601963225,0.142520373,0.501689979,WP_061405684.1,PP_5652,SMI1/KNR4 family protein,,
gene-M8001_RS22190,0.078900414,0.769668502,0.933143233,WP_061405691.1,PP_5666,McbB family protein,,
gene-M8001_RS22195,0.296532086,0.615032344,0.876080892,WP_061405692.1,PP_5667,SagB/ThcOx family dehydrogenase,,
gene-M8001_RS23425,1.41438274,0.006786737,0.092033697,WP_061405699.1,PP_5691,hypothetical protein,,
gene-M8001_RS23450,-0.686976066,0.065955902,0.353344865,WP_061405701.1,PP_5693,hypothetical protein,,
gene-M8001_RS24945,-0.517409449,0.122193909,0.465178409,WP_061405709.1,PP_5710,hypothetical protein,,
gene-M8001_RS24965,-0.441782461,0.168590825,0.539712596,WP_061405710.1,PP_5711,AAA family ATPase,,
gene-M8001_RS27530,0.684385538,0.443662087,0.788214572,WP_061405724.1,PP_5727,bacteriocin,,
gene-M8001_RS28080,0.14936808,0.669990518,0.899373306,WP_061405728.1,PP_5730,hypothetical protein,,
gene-M8001_RS28245,3.439554101,3.08358E-19,3.21802E-16,WP_061405729.1,PP_5732,putative metal-binding protein,,
gene-M8001_RS28275,0.886700303,0.031464457,0.243592786,WP_061405730.1,PP_5733,putative metal-binding protein,,
gene-M8001_RS15520,-3.036731831,1.17935E-05,0.000723984,WP_031297681.1,DM483_04375,diacylglycerol kinase,,
gene-M8001_RS05590,-2.314543355,1.01044E-10,2.02788E-08,WP_049588508.1,DM483_02235,amino acid ABC transporter ATP-binding protein,,
gene-M8001_RS12710,-2.314146086,1.15101E-05,0.000717411,WP_049587614.1,DM483_08015,carboxymuconolactone decarboxylase family protein,,
gene-M8001_RS05585,-2.065266884,2.61119E-10,4.69833E-08,WP_019438135.1,C4Q27_05770,ATP-binding protein,,
gene-M8001_RS14050,-1.912226305,0.006872719,0.092210243,WP_019436701.1,soxY PRJ_3226,quinoprotein dehydrogenase-associated SoxYZ-like carrier,,
gene-M8001_RS14045,-1.877901523,0.005587378,0.080538499,WP_049586273.1,JEU22_10860,transporter substrate-binding domain-containing protein,,
gene-M8001_RS20725,-1.820577934,7.59044E-06,0.000535229,WP_049587741.1,DM483_22575,methyl-accepting chemotaxis protein,,
gene-M8001_RS11540,-1.802874373,0.001829497,0.036858368,WP_049587511.1,PRJ_3666,tRNA 5-hydroxyuridine modification protein YegQ,,
gene-M8001_RS09570,-1.787017144,4.06516E-06,0.000321394,,,,,
gene-M8001_RS12705,-1.784048398,2.65305E-06,0.000212979,WP_049587612.1,PRJ_3463,GNAT family N-acetyltransferase,,
gene-M8001_RS05605,-1.599001024,0.000266328,0.008371696,WP_049588510.1,DM483_02250,glutamate/aspartate ABC transporter substrate-binding protein,,
gene-M8001_RS08840,-1.452098958,0.005557065,0.080323445,,,,,
gene-M8001_RS10350,-1.433415514,0.002453151,0.046045107,,,,,
gene-M8001_RS20790,-1.418666913,0.00031723,0.009568251,WP_049587738.1,DM483_22510,OBAP family protein,,
gene-M8001_RS11880,-1.400407572,4.97426E-05,0.002276814,,,,,
gene-M8001_RS22740,-1.351169004,2.3665E-05,0.001234839,WP_049586776.1,DM483_19905,GntR family transcriptional regulator,,
gene-M8001_RS24565,-1.273546338,0.067705279,0.358302381,,,,,
gene-M8001_RS04780,-1.191363468,0.000500096,0.013954557,WP_049586448.1,PRJ_0945,InaA protein,,
gene-M8001_RS14090,-1.167996018,0.000350392,0.010388315,WP_049586266.1,DM483_02920,hypothetical protein,,
gene-M8001_RS13725,-1.122563576,0.003555357,0.059844684,WP_049586296.1,DM483_29000,DUF4123 domain-containing protein,,
gene-M8001_RS03350,-1.121200715,0.05329873,0.315708674,,,,,
gene-M8001_RS10950,-1.121057287,0.017116165,0.165119531,WP_049586692.1,DM483_19040,NarK/NasA family nitrate transporter,,
gene-M8001_RS17335,-1.105834107,0.003158213,0.054931854,WP_049587866.1,DM483_12580,YeeE/YedE family protein,,
gene-M8001_RS02345,-1.092615393,0.001259653,0.028089866,,,,,
gene-M8001_RS04425,-1.084572166,0.040906767,0.280086049,,,,,
gene-M8001_RS09755,-1.069005356,0.02766711,0.223057059,,,,,
gene-M8001_RS13900,-1.067832694,0.008627027,0.107436345,WP_049586330.1,DM483_02730,universal stress protein,,
gene-M8001_RS12925,-1.035541931,0.000424922,0.012116089,WP_049587632.1,DM483_08225,nucleoside hydrolase,,
gene-M8001_RS16195,-1.030569924,0.004973988,0.074367537,WP_049586080.1,DM483_05055,hypothetical protein,,
gene-M8001_RS28300,-1.026776227,0.016580478,0.162320702,WP_126404397.1,,hypothetical protein,,
gene-M8001_RS12900,-0.991553788,0.000817776,0.020679376,WP_049587670.1,DM483_08200,sugar ABC transporter ATP-binding protein,,
gene-M8001_RS09385,-0.977769411,0.005668647,0.081484847,WP_232014089.1,,hypothetical protein,,
gene-M8001_RS09750,-0.947414535,0.013737956,0.142376102,,,,,
gene-M8001_RS02925,-0.943349293,0.022307177,0.195957657,WP_232014146.1,,alcohol dehydrogenase catalytic domain-containing protein,,
gene-M8001_RS20935,-0.942528071,0.013064264,0.138554534,,,,,
gene-M8001_RS10345,-0.933901147,0.006475045,0.088679226,,,,,
gene-M8001_RS16290,-0.932482417,0.003768525,0.061607504,WP_003248404.1,AA098_13410,DUF1795 domain-containing protein,,
gene-M8001_RS04925,-0.93057427,0.019040724,0.175848665,WP_003255163.1,mreB PPS_0963,rod shape-determining protein MreB,,
gene-M8001_RS16110,-0.922306475,0.014651073,0.149607239,WP_049586091.1,C4Q27_25815,FecR domain-containing protein,,
gene-M8001_RS16130,-0.922000404,0.061457443,0.341268125,WP_049586088.1,DM483_04990,type VI secretion system tube protein Hcp,,
gene-M8001_RS11875,-0.896328837,0.008079477,0.102575943,,,,,
gene-M8001_RS16190,-0.895460846,0.012200292,0.13305643,WP_049586301.1,tssB DM483_05050,type VI secretion system contractile sheath small subunit,,
gene-M8001_RS03340,-0.888602418,0.139729735,0.49565585,,,,,
gene-M8001_RS11870,-0.860779223,0.006388888,0.087960997,,,,,
gene-M8001_RS08260,-0.855730397,0.016434437,0.161891017,WP_049587427.1,DM483_06940,Na+/H+ antiporter,,
gene-M8001_RS20060,-0.842222352,0.006133178,0.086494392,WP_049587967.1,DM483_26720,cytochrome c4,,
gene-M8001_RS12700,-0.832528874,0.015685525,0.156196699,WP_049587667.1,DM483_08005,TonB-dependent receptor,,
gene-M8001_RS26730,-0.832094749,0.011574834,0.128232454,WP_049588308.1,DM483_10000,thermonuclease family protein,,
gene-M8001_RS05365,-0.830975293,0.105168411,0.435436405,WP_049588484.1,pgl DM483_02005,6-phosphogluconolactonase,,
gene-M8001_RS04245,-0.8193631,0.037652323,0.268987018,WP_049586403.1,DM483_00855,DUF3820 family protein,,
gene-M8001_RS09865,-0.799084486,0.015359304,0.155319469,WP_026031862.1,C4Q27_19525,MotA/TolQ/ExbB proton channel family protein,,
gene-M8001_RS17470,-0.797998151,0.068095567,0.359274688,WP_232014154.1,,TonB-dependent siderophore receptor,,
gene-M8001_RS19450,-0.794955854,0.008470435,0.106246941,WP_051122576.1,DM483_11620,hypothetical protein,,
gene-M8001_RS00040,-0.793379444,0.078667292,0.383324943,WP_003253166.1,rnpA T1E_0869,ribonuclease P protein component,,
gene-M8001_RS25690,-0.792586061,0.031529816,0.243737155,,,,,
gene-M8001_RS13720,-0.787817592,0.028410681,0.227372598,WP_257766428.1,,hypothetical protein,,
gene-M8001_RS04930,-0.786147308,0.012502345,0.13450976,WP_079732573.1,,rod shape-determining protein MreC,,
gene-M8001_RS06505,-0.784331194,0.081965723,0.390064718,WP_003254727.1,T1E_5047,SH3 domain-containing protein,,
gene-M8001_RS28320,-0.782504995,0.075014052,0.373852265,WP_049588399.1,DM483_20975,hypothetical protein,,
gene-M8001_RS24790,-0.77887461,0.045529409,0.29388798,,,,,
gene-M8001_RS12370,-0.772052062,0.043991412,0.289774446,,,,,
gene-M8001_RS08555,-0.760216917,0.024011764,0.203068698,WP_014592116.1,PRJ_4244,META domain-containing protein,,
gene-M8001_RS03880,-0.751416815,0.032222214,0.246533013,,,,,
gene-M8001_RS22185,-0.75114966,0.275514417,0.654807021,WP_126404336.1,,hypothetical protein,,
gene-M8001_RS21545,-0.741139082,0.031135426,0.24248456,WP_049588238.1,DM483_08720,hypothetical protein,,
gene-M8001_RS23465,-0.726241195,0.019582521,0.178952006,,,,,
gene-M8001_RS10490,-0.721078381,0.08674287,0.395916523,,,,,
gene-M8001_RS25345,-0.718655454,0.015564538,0.155884372,WP_049586734.1,PRJ_4824,CidA/LrgA family protein,,
gene-M8001_RS24795,-0.717799546,0.06840745,0.360191803,,,,,
gene-M8001_RS20130,-0.697472455,0.070031789,0.3628133,,,,,
gene-M8001_RS10445,-0.692173186,0.047585189,0.301700506,WP_049586623.1,DM483_18525,bifunctional tetrahydrofolate synthase/dihydrofolate synthase,,
gene-M8001_RS24100,-0.685232949,0.021616993,0.191506739,WP_014590031.1,C4Q27_04685,YcgN family cysteine cluster protein,,
gene-M8001_RS00845,-0.684771918,0.081370234,0.389174962,,,,,
gene-M8001_RS10930,-0.682155832,0.08930676,0.403815144,WP_003248665.1,PPS_1652,RNA polymerase sigma factor SigX,,
gene-M8001_RS10340,-0.680324141,0.062649135,0.342693688,,,,,
gene-M8001_RS16620,-0.678603459,0.205798223,0.578940878,WP_110771845.1,,RHS repeat-associated core domain-containing protein,,
gene-M8001_RS02340,-0.669608893,0.054679876,0.321530536,,,,,
gene-M8001_RS21205,-0.66960479,0.146506307,0.508280569,WP_049588262.1,DM483_25345,PAAR domain-containing protein,,
gene-M8001_RS09310,-0.668693899,0.08118561,0.389174962,WP_049587270.1,DM483_15145,hypothetical protein,,
gene-M8001_RS08830,-0.663832113,0.210477529,0.584443984,,,,,
gene-M8001_RS28030,-0.659504858,0.062988647,0.343442803,WP_020191297.1,C4Q27_12100,AraC family transcriptional regulator,,
gene-M8001_RS03420,-0.657978285,0.05654553,0.329301981,WP_126404328.1,,hypothetical protein,,
gene-M8001_RS15395,-0.646623316,0.047938878,0.303206138,WP_014591145.1,PRJ_2948,DNA binding protein,,
gene-M8001_RS17115,-0.646243444,0.053303822,0.315708674,WP_012052320.1,C1882_11940,nucleosidase,,
gene-M8001_RS09300,-0.64205529,0.079759272,0.386787992,WP_049587268.1,DM483_15155,glycosyltransferase family 2 protein,,
gene-M8001_RS27815,-0.640809707,0.040053536,0.276454165,WP_010955794.1,PRJ_5349,YicC family protein,,
gene-M8001_RS25605,-0.638692747,0.059750345,0.337548507,WP_049586711.1,DM483_23500,high-affinity branched-chain amino acid ABC transporter permease LivM,,
gene-M8001_RS16165,-0.63648149,0.130738097,0.48007839,WP_049586082.1,clpV DM483_05025,type VI secretion system ATPase TssH,,
gene-M8001_RS05370,-0.633631258,0.211127159,0.584443984,WP_003255037.1,T1E_2001,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,,
gene-M8001_RS02315,-0.622957229,0.154165463,0.523039913,,,,,
gene-M8001_RS01295,-0.62256915,0.109888266,0.443462468,WP_049588059.1,DM483_16290,RNA-binding transcriptional accessory protein,,
gene-M8001_RS19900,-0.618930404,0.199218105,0.571687434,WP_232014127.1,,hypothetical protein,,
gene-M8001_RS11715,-0.618682246,0.099296129,0.423205113,,,,,
gene-M8001_RS01335,-0.618328186,0.163385845,0.534310294,WP_003255806.1,,phosphoenolpyruvate carboxykinase,,
gene-M8001_RS03335,-0.617387054,0.134911325,0.486165259,,,,,
gene-M8001_RS00930,-0.615910696,0.039527817,0.274833821,WP_003255912.1,T1E_3790,WYL domain-containing protein,,
gene-M8001_RS21580,-0.612642583,0.114710906,0.450834285,WP_172835032.1,,lysoplasmalogenase,,
gene-M8001_RS04050,-0.606942138,0.038521132,0.272449554,WP_012051192.1,C1882_24245,hypothetical protein,,
gene-M8001_RS03725,-0.602972429,0.145651999,0.507750226,WP_003247449.1,T1E_4813,Mks condensin complex protein MksB,,
gene-M8001_RS02355,-0.602907827,0.090504151,0.40711264,,,,,
gene-M8001_RS26510,-0.599836095,0.059537156,0.337548507,WP_003249225.1,SAMN02745903_02805,YkgJ family cysteine cluster protein,,
gene-M8001_RS03780,-0.596102457,0.204377512,0.578940878,WP_049586375.1,,DUF4880 domain-containing protein,,
gene-M8001_RS02330,-0.594403539,0.060104057,0.337660392,WP_014589472.1,C4Q27_09280,hypothetical protein,,
gene-M8001_RS26665,-0.591512647,0.211313765,0.584443984,WP_014859120.1,T1E_0204,NirD/YgiW/YdeI family stress tolerance protein,,
gene-M8001_RS23470,-0.584278908,0.060375076,0.337660392,,,,,
gene-M8001_RS09745,-0.581696195,0.09462227,0.414946191,,,,,
gene-M8001_RS08810,-0.576901282,0.082892488,0.391078665,WP_049587237.1,DM483_15650,MFS transporter,,
gene-M8001_RS26790,-0.572074109,0.094878596,0.414946191,WP_003249106.1,T1E_0170,methionine biosynthesis protein MetW,,
gene-M8001_RS22380,-0.562188781,0.107018933,0.438324014,,,,,
gene-M8001_RS04935,-0.555528538,0.087861368,0.398661407,WP_003255161.1,mreD CW309_23505,rod shape-determining protein MreD,,
gene-M8001_RS16505,-0.554030815,0.156236367,0.526301718,WP_049587811.1,DM483_25615,VirK/YbjX family protein,,
gene-M8001_RS16270,-0.553080828,0.128377101,0.476437918,WP_227743096.1,,hypothetical protein,,
gene-M8001_RS06940,-0.552282009,0.117459876,0.456030976,WP_049587439.1,murE DM483_05600,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,,
gene-M8001_RS12205,-0.550894105,0.118281465,0.456841366,WP_014591666.1,PRJ_3571,hypothetical protein,,
gene-M8001_RS10335,-0.54802304,0.157461475,0.528381979,,,,,
gene-M8001_RS07775,-0.545559573,0.1684014,0.539712596,WP_019437363.1,C4Q27_17570,TetR family transcriptional regulator,,
gene-M8001_RS11720,-0.544404378,0.122553229,0.465667432,,,,,
gene-M8001_RS11135,-0.538856563,0.082061738,0.390064718,WP_020192587.1,PRJ_3753,sensor histidine kinase,,
gene-M8001_RS24785,-0.534832453,0.228381221,0.602365446,WP_003249960.1,,ribosome maturation factor RimP,,
gene-M8001_RS07595,-0.534501146,0.068018435,0.359230964,WP_014592195.1,E4195_26125,cytochrome c biogenesis protein CcsA,,
gene-M8001_RS03165,-0.534014659,0.159502481,0.529779724,,,,,
gene-M8001_RS26930,-0.532657004,0.083686525,0.392472142,WP_172835041.1,,HDOD domain-containing protein,,
gene-M8001_RS13440,-0.532505958,0.100030367,0.423960777,WP_049587171.1,DM483_25915,class I SAM-dependent methyltransferase,,
gene-M8001_RS15600,-0.529106722,0.06069393,0.338383065,WP_010953887.1,,winged helix-turn-helix transcriptional regulator,,
gene-M8001_RS06295,-0.528646938,0.128533645,0.476463981,WP_014589989.1,PRJ_1279,hypothetical protein,,
gene-M8001_RS02295,-0.524844098,0.123733023,0.468873575,WP_003255509.1,CW309_06505,peptidoglycan DD-metalloendopeptidase family protein,,
gene-M8001_RS21475,-0.522774573,0.359117984,0.726309164,,,,,
gene-M8001_RS25685,-0.519767879,0.145863854,0.507750226,,,,,
gene-M8001_RS21070,-0.51651269,0.264359735,0.644254179,WP_014590368.1,PRJ_2026,cupin domain-containing protein,,
gene-M8001_RS04055,-0.515309154,0.109823536,0.443462468,WP_162490559.1,,1-acyl-sn-glycerol-3-phosphate acyltransferase,,
gene-M8001_RS06785,-0.515136371,0.094904739,0.414946191,WP_014592300.1,PRJ_4545,trypsin-like peptidase domain-containing protein,,
gene-M8001_RS17535,-0.514919495,0.206779543,0.579782728,WP_049587840.1,DM483_12375,putative natural product biosynthesis protein,,
gene-M8001_RS19365,-0.511028992,0.168669752,0.539712596,WP_049586529.1,DM483_11535,hypothetical protein,,
gene-M8001_RS09735,-0.509529184,0.163856164,0.534375914,,,,,
gene-M8001_RS04600,-0.505412,0.118546595,0.457291862,WP_049586482.1,DM483_01215,FecR family protein,,
gene-M8001_RS21470,-0.50531096,0.542891191,0.845974888,WP_049588241.1,DM483_08645,DsbA family protein,,
gene-M8001_RS03330,-0.502089693,0.188861954,0.561208244,,,,,
gene-M8001_RS06275,-0.501123917,0.290040209,0.667297095,,,,,
gene-M8001_RS06935,-0.500816668,0.139301715,0.495484901,WP_162490564.1,,penicillin-binding protein 2,,
gene-M8001_RS05975,-0.500482031,0.11728287,0.456030976,WP_049588172.1,DM483_27990,DUF2288 domain-containing protein,,
gene-M8001_RS12095,-0.496138249,0.091535987,0.410484383,,,,,
gene-M8001_RS05905,-0.49423454,0.1412317,0.498948553,WP_049588531.1,DM483_02555,OmpA family protein,,
gene-M8001_RS19405,-0.483211141,0.162778678,0.533864955,WP_049586534.1,DM483_11575,hypothetical protein,,
gene-M8001_RS04890,-0.483069439,0.095716025,0.414946191,WP_049586457.1,C4Q27_06515,AEC family transporter,,
gene-M8001_RS03175,-0.481204708,0.393183604,0.752767923,,,,,
gene-M8001_RS26150,-0.480507552,0.112255193,0.446033533,WP_049587482.1,DM483_13640,cytochrome c,,
gene-M8001_RS06755,-0.479562283,0.151820671,0.518368695,WP_010952422.1,rhlB T1E_0556,ATP-dependent RNA helicase RhlB,,
gene-M8001_RS23130,-0.478484237,0.12070935,0.461384649,WP_110771811.1,,IS3 family transposase,,
gene-M8001_RS25840,-0.478455088,0.166749245,0.53745998,WP_019437570.1,serB JEU22_19690,phosphoserine phosphatase SerB,,
gene-M8001_RS26060,-0.477696825,0.225782799,0.599451034,WP_232014161.1,,ATP-dependent RNA helicase DbpA,,
gene-M8001_RS09120,-0.475379704,0.097841285,0.419159132,WP_049587258.1,PRJ_4117,DsbA family protein,,
gene-M8001_RS10640,-0.474591789,0.100657376,0.425977445,WP_020193144.1,C4Q27_20150,DUF58 domain-containing protein,,
gene-M8001_RS27340,-0.474096926,0.169218398,0.540380416,WP_003253683.1,,hypothetical protein,,
gene-M8001_RS28425,-0.472036031,0.302903832,0.677809864,WP_126404399.1,,hypothetical protein,,
gene-M8001_RS00250,-0.470948388,0.168456947,0.539712596,WP_019438065.1,,hypothetical protein,,
gene-M8001_RS06955,-0.47051533,0.226863207,0.60120478,WP_029615326.1,murD JEU22_30035,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,,
