Synonym,Product,Expression  9313 t=20+0.01,Expression  9313+ diluted 1a3 T=20  +0.01,q Value,log 2 fold change coculture/axenic
PMT2166,rubredoxin:rubrerythrin:rubredoxin-type Fe(Cys)4 protein,137.01,104.01,0.174355244,-0.397558953
PMT1526,transcription elongation factor NusA,331.01,251.01,0.760173182,-0.399129961
PMT1452,F0F1 ATP synthase subunit epsilon,922.01,699.01,0.712744839,-0.399469303
PMT1314,high light inducible protein,194.01,147.01,0.173917613,-0.400216722
PMT1805,hypothetical protein,202.01,153.01,0.195056899,-0.400800768
PMT2084,glyoxalase/bleomycin resistance protein/dioxygenase family protein,74.01,56.01,0.187727782,-0.402035788
PMT0209,group 1 glycosyl transferase,41.01,31.01,0.138303245,-0.403242218
PMT1329,hypothetical protein,45.01,34.01,0.167458769,-0.404286559
PMT0500,hypothetical protein,49.01,37.01,0.277702214,-0.405161011
PMT1127,thioredoxin,751.01,567.01,0.179052611,-0.405457939
PMT0602,hypothetical protein,102.01,77.01,0.188585585,-0.405592884
PMT0335,dihydrolipoamide dehydrogenase,93.01,70.01,0.166020557,-0.40982483
PMT0938,TPR repeat-containing protein,4.01,3.01,1,-0.41383875
PMT2078,hypothetical protein,4.01,3.01,1,-0.41383875
PMT1859,hypothetical protein,886.01,665.01,0.426829675,-0.413946947
PMT0608,hypothetical protein,12.01,9.01,1,-0.41463714
PMT0737,RNA methyltransferase,12.01,9.01,1,-0.41463714
PMT1910,tRNA nucleotidyltransferase/poly(A) polymerase,12.01,9.01,1,-0.41463714
PMT2126,Phage integrase,12.01,9.01,1,-0.41463714
PMT2243,N-acetyltransferase GCN5,12.01,9.01,1,-0.41463714
PMT0326,cytosine deaminase,24.01,18.01,0.183088263,-0.414837222
PMT0692,sugar ABC transporter,32.01,24.01,0.208825343,-0.414887273
PMT1565,cytochrome P450 enzyme,32.01,24.01,0.173777083,-0.414887273
PMT0799,hypothetical protein,36.01,27.01,0.270341155,-0.41490396
PMT2159,hypothetical protein,44.01,33.01,0.184303859,-0.414928233
PMT1883,hypothetical protein,64.01,48.01,0.17025522,-0.414962373
PMT1399,transporter membrane component,92.01,69.01,0.156304628,-0.414985234
PMT1095,glutaredoxin-like protein,726.01,544.01,0.177943672,-0.416356249
PMT0766,acetazolamide conferring resistance protein Zam,139.01,104.01,0.448272164,-0.418466428
PMT0179,hypothetical protein,103.01,77.01,0.207410246,-0.419666696
PMT0152,hypothetical protein,47.01,35.01,0.143002221,-0.425200619
PMT0738,phenylalanyl-tRNA synthetase subunit beta,47.01,35.01,0.181468932,-0.425200619
PMT1953,glucosamine--fructose-6-phosphate aminotransferase,43.01,32.01,0.208360599,-0.426149454
PMT1122,hypothetical protein,39.01,29.01,0.144261309,-0.427293703
PMT0701,phosphate ABC transporter,35.01,26.01,0.188289832,-0.428700662
PMT0618,pyruvate dehydrogenase E1 beta subunit,101.01,75.01,0.197816691,-0.42934328
PMT1338,multidrug efflux ABC transporter,132.01,98.01,0.173148507,-0.42964636
PMT1273,porphobilinogen deaminase,97.01,72.01,0.206979107,-0.429936204
PMT1113,Hepatitis C virus core protein,31.01,23.01,0.301995188,-0.430472542
PMT1868,orotate phosphoribosyltransferase,93.01,69.01,0.143372981,-0.430580403
PMT1663,photosystem II reaction center protein M,499.01,370.01,0.142019981,-0.431504465
PMT0074,DNA polymerase III subunit delta,27.01,20.01,0.2159684,-0.432772473
PMT0376,potassium channel,23.01,17.01,0.28059159,-0.435877843
PMT1297,hypothetical protein,23.01,17.01,0.171109652,-0.435877843
PMT1499,hypothetical protein,1261.01,932.01,0.779967879,-0.436162377
PMT0009,hypothetical protein,191.01,141.01,0.170944087,-0.437850692
PMT0765,hypothetical protein,72.01,53.01,0.24846321,-0.441932726
PMT1341,"cytochrome c oxidase, subunit 2",303.01,223.01,0.198440473,-0.442257003
PMT0720,D-Ala-D-Ala carboxypeptidase 3,53.01,39.01,0.160626619,-0.442420542
PMT0754,thioredoxin peroxidase,1948.01,1433.01,0.698754241,-0.442952406
PMT1316,photosystem I PsaF protein (subunit III),7962.01,5856.01,0.482767189,-0.443214666
PMT0443,hypothetical protein,136.01,100.01,0.195438804,-0.443568466
PMT2075,hypothetical protein,15.01,11.01,1,-0.447109508
PMT1669,HAD family hydrolase,105.01,77.01,0.218429131,-0.447409019
PMT1419,circadian clock protein KaiB,101.01,74.01,0.199403354,-0.448706006
PMT1694,hypothetical protein,56.01,41.01,0.21625687,-0.449708685
PMT1973,cell division inhibitor,67.01,49.01,0.150942729,-0.45130026
PMT0233,L-cysteine/cystine lyase,26.01,19.01,0.186924914,-0.452307867
PMT0150,hypothetical protein,85.01,62.01,0.270612396,-0.455131671
PMT2087,transcription antitermination protein NusG,269.01,196.01,0.174873311,-0.456732544
PMT1377,polynucleotide phosphorylase/polyadenylase,1256.01,915.01,0.43578982,-0.456988535
PMT1614,phosphoglucomutase,158.01,115.01,0.225672685,-0.458256558
PMT0037,SNF2/helicase domain-containing protein,22.01,16.01,0.217435894,-0.459185837
PMT1884,pleiotropic regulatory protein,44.01,32.01,0.154878262,-0.459308695
PMT0224,O-acetylserine (thiol)-lyase A,602.01,437.01,0.676459092,-0.462121159
PMT1551,FAD-dependent pyridine nucleotide-disulfide oxidoreductase,364.01,264.01,0.634258077,-0.463385508
PMT1727,recombinase A,262.01,190.01,0.31853304,-0.463546528
PMT0590,phycocyanobilin:ferredoxin oxidoreductase,40.01,29.01,0.207640437,-0.463810333
PMT0173,hypothetical protein,149.01,108.01,0.195951166,-0.464244264
PMT1167,DNA-binding domain-containing protein,2002.01,1450.01,0.673748403,-0.465386331
PMT0838,SAP domain-containing protein,29.01,21.01,0.315816935,-0.465474134
PMT0436,gamma-glutamyl phosphate reductase,65.01,47.01,0.219397375,-0.467693974
PMT1864,glycosyl transferase family protein,18.01,13.01,0.30964852,-0.469177219
PMT0167,hypothetical protein,36.01,26.01,0.336254916,-0.4693312
PMT0517,IMP dehydrogenase,108.01,78.01,0.164256111,-0.469433911
PMT1836,twin arginine translocase protein A,1512.01,1091.01,0.861637617,-0.470803356
PMT2176,DnaB replicative helicase,61.01,44.01,0.218351906,-0.471214359
PMT1785,SAM-binding motif-containing protein,104.01,75.01,0.214434319,-0.471567395
PMT1638,hypothetical protein,233.01,168.01,0.222970838,-0.471844767
PMT0379,ornithine carbamoyltransferase,68.01,49.01,0.15854714,-0.472670745
PMT1370,hypothetical protein,508.01,366.01,0.20190433,-0.47297383
PMT1501,hypothetical protein,93.01,67.01,0.201669534,-0.473009429
PMT1427,cytochrome c-550,3364.01,2423.01,0.682448968,-0.473381635
PMT2003,squalene and phytoene synthase,82.01,59.01,0.225202714,-0.474840379
PMT2274,threonine synthase,114.01,82.01,0.193175115,-0.475288629
PMT0454,hypothetical protein,121.01,87.01,0.217267857,-0.47587315
PMT0950,hypothetical protein,32.01,23.01,0.330032906,-0.476261693
PMT1183,cobyric acid synthase,32.01,23.01,0.160010184,-0.476261693
PMT1409,lipid-A-disaccharide synthase,32.01,23.01,0.2153073,-0.476261693
PMT2145,multidrug ABC transporter,32.01,23.01,0.203653361,-0.476261693
PMT1397,isoamylase,64.01,46.01,0.179196849,-0.476349852
PMT1670,S-adenosylmethionine synthetase,482.01,346.01,0.690978901,-0.478249344
PMT0271,penicillin binding protein,67.01,48.01,0.188291516,-0.481041471
PMT0601,glutamine synthetase,790.01,565.01,0.738642265,-0.483594513
PMT0784,type III sigma factor,7.01,5.01,1,-0.484603841
PMT0967,hypothetical protein,7.01,5.01,1,-0.484603841
PMT2113,hypothetical protein,14.01,10.01,1,-0.485014982
PMT0092,hypothetical protein,42.01,30.01,0.214644395,-0.485289467
PMT2191,valyl-tRNA synthetase,49.01,35.01,0.189332416,-0.485309085
PMT1701,hypothetical protein,70.01,50.01,0.21875258,-0.485344402
PMT0388,hypothetical protein,126.01,90.01,0.217936654,-0.485381032
PMT0215,long-chain-fatty-acid--CoA ligase,66.01,47.01,0.197873991,-0.489716918
PMT1194,hydroxyacylglutathione hydrolase,66.01,47.01,0.161524109,-0.489716918
PMT1518,hypothetical protein,45.01,32.01,0.308816713,-0.491722888
PMT1654,cell division topological specificity factor MinE,76.01,54.01,0.232274753,-0.492962686
PMT0020,general secretion pathway protein E,100.01,71.01,0.198903399,-0.49405015
PMT0649,hypothetical protein,227.01,161.01,0.229246872,-0.495605557
PMT0851,serine/threonine specific protein phosphatase,24.01,17.01,0.229252843,-0.497252263
PMT0589,ABC transporter,72.01,51.01,0.163657848,-0.497417166
PMT0665,hypothetical protein,140.01,99.01,0.21278371,-0.499883723
PMT0630,gonadotropin-releasing hormone,51.01,36.01,0.212406662,-0.502382501
PMT1956,3-oxoacyl-ACP synthase,829.01,585.01,0.729068933,-0.502928219
PMT0213,light repressed protein A-like protein,542.01,382.01,0.429470153,-0.504709065
PMT0473,NADH-ubiquinone/plastoquinone (comple,44.01,31.01,0.193890352,-0.505097846
PMT2064,hypothetical protein,44.01,31.01,0.337995824,-0.505097846
PMT1481,nitrogen regulatory protein P-II,711.01,500.01,0.214434319,-0.507912902
PMT1072,LytR-membrane bound transcriptional regulator,94.01,66.01,0.228886515,-0.510129629
PMT0493,hypothetical protein,399.01,280.01,0.221774792,-0.510946553
PMT0077,multidrug ABC transporter,144.01,101.01,0.902319613,-0.511670868
PMT0859,hypothetical protein,97.01,68.01,0.187102266,-0.512386579
PMT0044,cobalt-precorrin-6A synthase,10.01,7.01,1,-0.513955625
PMT0145,substrate-binding family 1 protein,30.01,21.01,0.212251514,-0.514367157
PMT0127,type II alternative sigma-70 family RNA polymerase sigma factor,40.01,28.01,0.207316182,-0.514418645
PMT0189,DEAD/DEAH box helicase,70.01,49.01,0.227151768,-0.51448486
PMT0334,tRNA/rRNA methyltransferase SpoU,100.01,70.01,0.244914067,-0.514511351
PMT0616,preprotein translocase subunit SecF,263.01,184.01,0.271805926,-0.515333482
PMT1613,hypothetical protein,236.01,165.01,0.241422844,-0.516294532
PMT1238,hypothetical protein,73.01,51.01,0.243975892,-0.517313979
PMT1867,occludin/ELL family,149.01,104.01,0.238435127,-0.51868691
PMT1361,chloroplast membrane-associated 30 kD protein,172.01,120.01,0.203559265,-0.519337815
PMT0352,"integral membrane protein, interacts with FtsH",1770.01,1234.01,0.765054644,-0.520403425
PMT0492,peptide methionine sulfoxide reductase,99.01,69.01,0.205935037,-0.520768812
PMT0814,dihydrodipicolinate reductase,23.01,16.01,0.300669638,-0.523287676
PMT0844,hypothetical protein,23.01,16.01,0.321816359,-0.523287676
PMT1517,ABC transporter substrate-binding protein,151.01,105.01,0.20168544,-0.524117368
PMT1035,hypothetical protein,423.01,294.01,0.202808756,-0.524826544
PMT0043,soluble hydrogenase small subunit,144.01,100.01,0.194200663,-0.526024733
PMT1890,hypothetical protein,104.01,72.01,0.203598261,-0.53045307
PMT0089,acyltransferase,42.01,29.01,0.182986445,-0.53418249
PMT1312,UDP-N-acetylglucosamine 2-epimerase,29.01,20.01,0.212915498,-0.535829128
PMT1156,membrane fusion protein,161.01,111.01,0.206113257,-0.536460651
PMT1742,50S ribosomal protein L14,1943.01,1338.01,0.787182486,-0.538204428
PMT0254,NifU-like protein,465.01,320.01,0.223270487,-0.539144753
PMT0959,kinesin motor domain,16.01,11.01,1,-0.540158839
PMT0575,tyrosine binding protein,64.01,44.01,0.220552388,-0.540465937
PMT0220,branched-chain alpha-keto acid dehydrogenase subunit E2,192.01,132.01,0.237276481,-0.540534229
PMT1819,hypothetical protein,99.01,68.01,0.217435894,-0.541827353
PMT1841,hypothetical protein,70.01,48.01,0.220033916,-0.544226071
PMT1275,inorganic pyrophosphatase,388.01,266.01,0.223270487,-0.544613353
PMT1059,diaminopimelate decarboxylase,73.01,50.01,0.231642772,-0.545877475
PMT1577,hypothetical protein,146.01,100.01,0.227604186,-0.545922918
PMT1458,hypothetical protein,98.01,67.01,0.23908458,-0.548552548
PMT1907,UDP-glucose-4-epimerase,41.01,28.01,0.208284443,-0.55003376
PMT0098,LPS biosynthesis protein,145.01,99.01,0.210018518,-0.550506243
PMT1274,hypothetical protein,170.01,116.01,0.231642772,-0.551370438
PMT0534,acetyl-CoA carboxylase subunit beta,195.01,133.01,0.204172298,-0.552013391
PMT1405,DNA-binding response regulator,47.01,32.01,0.229970433,-0.554445004
PMT0385,esterase/lipase/thioesterase family protein,59.01,40.01,0.22803773,-0.56059883
PMT1939,glycolate oxidase subunit GlcE,31.01,21.01,0.232521594,-0.561657364
PMT0327,FAD/FMN-containing dehydrogenase,34.01,23.01,0.183499429,-0.563698022
PMT2259,30S ribosomal protein S6,1289.01,872.01,0.919201938,-0.563846871
PMT0545,hypothetical protein,281.01,190.01,0.223270487,-0.564546123
PMT0083,preprotein translocase subunit SecA,166.01,112.01,0.933715554,-0.56764261
PMT0125,glutathione peroxidase,412.01,277.01,0.233797827,-0.572741296
PMT1506,DNA-directed RNA polymerase subunit gamma,412.01,277.01,0.794163771,-0.572741296
PMT2115,kelch motif-containing protein,64.01,43.01,0.315818741,-0.573625177
PMT1062,glycerol dehydrogenase,70.01,47.01,0.269077954,-0.574593326
PMT1216,light-independent protochlorophyllide reductase subunit B,639.01,429.01,0.806227847,-0.574827232
PMT1896,cytochrome b559 subunit alpha,12676.01,8496.01,0.386575746,-0.577243334
PMT1336,hypothetical protein,97.01,65.01,0.287068577,-0.577471817
PMT1662,hypothetical protein,100.01,67.01,0.213359204,-0.57769595
PMT0328,bromo domain-containing protein,413.01,276.01,0.939096471,-0.581456176
PMT0961,flagella basal body rod protein,6.01,4.01,1,-0.583762754
PMT1086,UvrD/REP helicase,9.01,6.01,1,-0.584162115
PMT1318,guanylate kinase,9.01,6.01,1,-0.584162115
PMT1463,hypothetical protein,12.01,8.01,1,-0.584362003
PMT0165,RibD/RibG domain-containing protein,15.01,10.01,1,-0.584482003
PMT1558,NAD binding site,15.01,10.01,1,-0.584482003
PMT0301,hypothetical protein,21.01,14.01,0.347786247,-0.584619206
PMT0858,ferric uptake regulator family protein,24.01,16.01,0.327069084,-0.584662096
PMT0689,hypothetical protein,27.01,18.01,0.34729319,-0.584695459
PMT0716,diaminopimelate epimerase,27.01,18.01,0.272043278,-0.584695459
PMT0482,hypothetical protein,30.01,20.01,0.252669863,-0.584722152
PMT1456,aminopeptidase P,33.01,22.01,0.210385564,-0.584743993
PMT1294,exodeoxyribonuclease III,45.01,30.01,0.238435127,-0.584802246
PMT0364,riboflavin kinase/FAD synthase,48.01,32.01,0.217828754,-0.584812259
PMT1462,alanine dehydrogenase,54.01,36.01,0.18688583,-0.584828949
PMT0728,branched-chain amino acid aminotransferase,60.01,40.01,0.197626062,-0.584842301
PMT1459,hypothetical protein,72.01,48.01,0.264061289,-0.584862331
PMT1403,tyrosyl-tRNA synthetase,75.01,50.01,0.255360933,-0.584866337
PMT1892,NADH dehydrogenase subunit B,199.01,132.01,0.223112518,-0.592193706
PMT1130,cytochrome b6-f complex subunit PetG,193.01,128.01,0.304163053,-0.59241908
PMT1795,chorismate synthase,83.01,55.01,0.263405704,-0.593591242
PMT1637,hypothetical protein,222.01,147.01,0.196731217,-0.594710367
PMT1683,phycobilisome protein (phycoerythrin beta-subunit),682.01,451.01,0.904966207,-0.596633471
PMT0148,hypothetical protein,478.01,316.01,0.23515211,-0.597070587
PMT2225,ATP-binding subunit of urea ABC transport system,53.01,35.01,0.244355127,-0.598497479
PMT2089,50S ribosomal protein L1,765.01,505.01,0.857724223,-0.599166651
PMT0840,hypothetical protein,203.01,134.01,0.195505963,-0.599210134
PMT1025,MAPEG family protein,44.01,29.01,0.341781085,-0.601281076
PMT2046,hypothetical protein,167.01,110.01,0.237256581,-0.602299817
PMT1451,F0F1 ATP synthase subunit beta,1122.01,739.01,0.855116596,-0.602419743
PMT1602,dienelactone hydrolase,35.01,23.01,0.233144714,-0.605506078
PMT1224,protein ligase,32.01,21.01,0.279738028,-0.607446515
PMT1048,photosystem II protein Y,4562.01,2994.01,0.879055232,-0.607590569
PMT1979,porin,18042.01,11822.01,0.447428573,-0.609884727
PMT1503,ribosomal RNA large subunit methyltransferase N,87.01,57.01,0.266734127,-0.609966217
PMT1947,hypothetical protein,372.01,243.01,0.225841177,-0.61432572
PMT1741,30S ribosomal protein S17,1238.01,808.01,0.560387475,-0.615577915
PMT0645,30S ribosomal protein S15,685.01,447.01,0.236600501,-0.615817943
PMT0252,hypothetical protein,23.01,15.01,0.355444694,-0.616337007
PMT0221,NHL repeat-containing protein,86.01,56.01,0.227345297,-0.618819977
PMT0523,hypothetical protein,186.01,121.01,0.261248072,-0.62025391
PMT0437,ROK family protein,20.01,13.01,0.323466327,-0.621100205
PMT1524,small mechanosensitive ion channel,20.01,13.01,0.29805721,-0.621100205
PMT2119,hypothetical protein,57.01,37.01,0.362239735,-0.623299866
PMT0095,capsular polysaccharide biosynthesis protein,128.01,83.01,0.240139104,-0.624899467
PMT0502,Crp family regulatory proteins,17.01,11.01,1,-0.627568672
PMT0812,2-octaprenyl-6-methoxyphenol 4-monooxygenase,34.01,22.01,0.243573226,-0.627799861
PMT2233,urease accessory protein UreD,51.01,33.01,0.217435894,-0.627876962
PMT0336,indole-3-glycerol-phosphate synthase,68.01,44.01,0.202327133,-0.62791552
PMT1814,creatininase,102.01,66.01,0.286671257,-0.627954083
PMT0457,hypothetical protein,291.01,188.01,0.262126519,-0.63025933
PMT0823,hypothetical protein,144.01,93.01,0.279916268,-0.630711254
PMT1507,DNA-directed RNA polymerase subunit beta,443.01,286.01,0.836402232,-0.631273675
PMT1046,light-harvesting complex protein,33229.01,21445.01,0.448854212,-0.631801322
PMT1004,hypothetical protein,186.01,120.01,0.286474727,-0.632225558
PMT1354,NAD(P)H-quinone oxidoreductase subunit 2,217.01,140.01,0.717385625,-0.632231652
PMT1787,hypothetical protein,188.01,121.01,0.262521085,-0.635683125
PMT1927,group 1 glycosyl transferase,14.01,9.01,1,-0.636857945
PMT1259,prolyl-tRNA synthetase,42.01,27.01,0.259069649,-0.637239146
PMT1410,UDP-N-acetylglucosamine acyltransferase,142.01,91.01,0.255048472,-0.641895545
PMT1629,VIC family potassium channel protein,97.01,62.01,0.233774213,-0.645632582
PMT0577,aromatic-ring hydroxylase (flavoprotein monooxygenase),661.01,422.01,0.811512557,-0.647394912
PMT1255,hypothetical protein,47.01,30.01,0.255084958,-0.647524362
PMT0317,oxygen-independent coproporphyrinogen III oxidase,11.01,7.01,1,-0.65132812
PMT0004,amidophosphoribosyltransferase,22.01,14.01,0.262521085,-0.651702189
PMT1189,hypothetical protein,33.01,21.01,0.317875979,-0.651826977
PMT0129,RND family multidrug efflux transporter,44.01,28.01,0.240536227,-0.651889388
PMT1702,hypothetical protein,110.01,70.01,0.28059159,-0.65200176
PMT1308,glutamyl-tRNA synthetase,118.01,75.01,0.23908458,-0.653754269
PMT0178,photosystem II complex extrinsic protein precursor U,4812.01,3058.01,0.50777989,-0.654046516
PMT0509,"cytochrome c, class IC:cytochrome c, class I",3345.01,2124.01,0.922510815,-0.655219965
PMT0718,hypothetical protein,63.01,40.01,0.27549753,-0.655220181
PMT0642,hypothetical protein,134.01,85.01,0.268270687,-0.656636195
PMT0361,hypothetical protein,216.01,137.01,0.268922417,-0.656816907
PMT0876,homoserine O-succinyltransferase,71.01,45.01,0.217828754,-0.657776642
PMT1538,hypothetical protein,172.01,109.01,0.244367739,-0.658031954
PMT0028,glyceraldehyde 3-phosphate dehydrogenase,391.01,247.01,1,-0.662636055
PMT0751,M23/M37 familypeptidase,38.01,24.01,0.263405704,-0.662743622
PMT2213,spermidine synthase,73.01,46.01,0.215298742,-0.666146623
PMT0431,hypothetical protein,27.01,17.01,0.298248721,-0.667110499
PMT0783,hypothetical protein,27.01,17.01,0.363120091,-0.667110499
PMT1666,photosystem II reaction centre T protein,10669.01,6715.01,0.936497807,-0.667964858
PMT2187,"FAD linked oxidase, N-terminal",35.01,22.01,0.206833193,-0.669607917
PMT1097,two-component response regulator,191.01,120.01,0.250284168,-0.670493545
PMT1780,30S ribosomal protein S7,1003.01,630.01,1,-0.670889356
PMT0460,hypothetical protein,110.01,69.01,0.223270487,-0.672757334
PMT0081,"6,7-dimethyl-8-ribityllumazine synthase",845.01,530.01,1,-0.672948835
PMT0355,GTP-binding protein Era,8.01,5.01,1,-0.676991639
PMT1138,hypothetical protein,16.01,10.01,1,-0.677531334
PMT1163,hydrolase of the alpha/beta-hydrolase fold,24.01,15.01,0.306074386,-0.677711427
PMT0139,hypothetical protein,56.01,35.01,0.302101818,-0.677917367
PMT2178,DNA polymerase III subunit beta,56.01,35.01,0.250767969,-0.677917367
PMT1502,sodium/solute symporter family protein glucose transporter,72.01,45.01,0.264155112,-0.677951702
PMT0556,cobalamin synthesis protein,88.01,55.01,0.289343284,-0.677973554
PMT1665,photosystem II PsbB protein (CP47),10136.01,6329.01,0.452819984,-0.679438101
PMT1477,c-type cytochrome biogenesis protein Ccs1,133.01,83.01,0.254764697,-0.680177665
PMT0251,replication protein,93.01,58.01,0.284118549,-0.681084217
PMT2067,para-aminobenzoate synthase component II,53.01,33.01,0.294206814,-0.683361402
PMT0201,hypothetical protein,143.01,89.01,0.225410399,-0.684076699
PMT0898,hypothetical protein,90.01,56.01,0.283902183,-0.684400864
PMT1852,sugar fermentation stimulation protein A,95.01,59.01,0.312202063,-0.68711991
PMT0646,hypothetical protein,248.01,154.01,0.272025069,-0.687374263
PMT1109,polyprenyl synthetase,29.01,18.01,0.294433962,-0.687752114
PMT1738,30S ribosomal protein S3,1479.01,916.01,0.937529847,-0.691196554
PMT1332,VIC family potassium channel protein,21.01,13.01,0.33259716,-0.6914552
PMT2111,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",21.01,13.01,0.248129728,-0.6914552
PMT1157,DNA polymerase I,42.01,26.01,0.266948513,-0.691666387
PMT0559,hypothetical protein,722.01,447.01,0.28255109,-0.691711713
PMT1791,"L,L-diaminopimelate aminotransferase",152.01,94.01,0.271465572,-0.693280103
PMT1372,hypothetical protein,309.01,191.01,0.255406058,-0.694005356
PMT0623,glutamate dehydrogenase,34.01,21.01,0.247336508,-0.694882844
PMT0387,bacterioferritin comigratory protein,99.01,61.01,0.255360933,-0.698528514
PMT2028,translation initiation factor SUI1,13.01,8.01,1,-0.699746814
PMT1121,2-isopropylmalate synthase,39.01,24.01,0.227612692,-0.700208595
PMT1928,group 1 glycosyl transferase,39.01,24.01,0.240689954,-0.700208595
PMT1322,cytochrome b6-f complex iron-sulfur subunit,1084.01,667.01,0.933890762,-0.70059777
PMT1692,Hpt domain-containing protein,114.01,70.01,0.281346786,-0.703527459
PMT0902,hypothetical protein,219.01,134.01,0.238669822,-0.708656084
PMT0008,hypothetical protein,206.01,126.01,0.274206501,-0.709176141
PMT1660,SAM-binding motif-containing protein,18.01,11.01,1,-0.709983712
PMT0033,4-hydroxythreonine-4-phosphate dehydrogenase,54.01,33.01,0.243583486,-0.71032341
PMT1782,elongation factor Tu,1497.01,914.01,0.411982173,-0.711802004
PMT1523,hypothetical protein,200.01,122.01,0.30718153,-0.713072736
PMT0231,esterase/lipase/thioesterase family protein,23.01,14.01,0.341800962,-0.715804028
PMT1484,adenylosuccinate lyase,120.01,73.01,0.265290865,-0.71698864
PMT2004,phytoene desaturase,102.01,62.01,0.266115702,-0.718137791
PMT1893,NADH dehydrogenase subunit A,140.01,85.01,0.247578714,-0.719825408
PMT0315,ATP-dependent Clp protease-like protein,328.01,199.01,0.290925982,-0.720898873
PMT0136,carbohydrate kinase,33.01,20.01,0.287281281,-0.722181971
PMT1624,phosphoadenosine phosphosulfate reductase,33.01,20.01,0.322510833,-0.722181971
PMT1207,HAM1 family protein,48.01,29.01,0.301738294,-0.72678464
PMT0195,3-dehydroquinate dehydratase,53.01,32.01,0.338969009,-0.727741864
PMT0143,rod shape-determining protein MreC,63.01,38.01,0.257573058,-0.729201784
PMT2093,ribonuclease HI,15.01,9.01,1,-0.736324966
PMT2045,NifS-like aminotransferase class-V,25.01,15.01,0.324853058,-0.736581081
PMT0580,D-Ala-D-Ala dipeptidase,30.01,18.01,0.353331437,-0.736645138
PMT0762,chloride channel,30.01,18.01,0.282803601,-0.736645138
PMT1460,nicotinic acid mononucleotide adenylyltransferase,70.01,42.01,0.291052304,-0.736828221
PMT1398,GPH family sugar transporter,239.01,143.01,0.560244801,-0.74095495
PMT0850,hypothetical protein,586.01,349.01,0.273748723,-0.74765691
PMT1296,glutamate-1-semialdehyde aminotransferase,464.01,276.01,0.918107173,-0.74943536
PMT1556,transthyretin precursor,254.01,151.01,0.332988164,-0.750241206
PMT1353,DNA topoisomerase I,143.01,85.01,1,-0.750411566
PMT1700,hypothetical protein,64.01,38.01,0.393887879,-0.751918283
PMT1592,hypothetical protein,54.01,32.01,0.322575941,-0.754703871
PMT1933,hypothetical protein,54.01,32.01,0.287068577,-0.754703871
PMT0389,acetyl-coenzyme A synthetase,130.01,77.01,0.323048715,-0.755504894
PMT0824,hypothetical protein,103.01,61.01,0.310147409,-0.755666762
PMT0440,hypothetical protein,174.01,103.01,0.287068577,-0.756385819
PMT0052,thiazole synthase,49.01,29.01,0.266948513,-0.756525851
PMT0182,RND family outer membrane efflux protein,49.01,29.01,0.324488462,-0.756525851
PMT0696,heat shock protein 90,186.01,110.01,0.905947999,-0.757745512
PMT1743,50S ribosomal protein L24,1822.01,1077.01,0.939096471,-0.758499232
PMT0012,protein phosphatase 2C domain-containing protein,22.01,13.01,0.301995188,-0.758538183
PMT0891,hypothetical protein,22.01,13.01,0.430134043,-0.758538183
PMT1685,heme oxygenase,22.01,13.01,0.420583559,-0.758538183
PMT1549,hypothetical protein,88.01,52.01,0.264614199,-0.758878419
PMT1131,"cytochrome c, class IC:cytochrome c, class I",129.01,76.01,0.256291768,-0.763221759
PMT1218,protochlorophyllide oxidoreductase,73.01,43.01,0.312514062,-0.763421949
PMT1869,hypothetical protein,73.01,43.01,0.261397636,-0.763421949
PMT0685,1-deoxy-D-xylulose-5-phosphate synthase,182.01,107.01,0.894960655,-0.766272096
PMT0998,porin,382.01,224.01,0.937714636,-0.770047268
PMT0488,integrase zinc binding subunit,70.01,41.01,0.42681759,-0.771585263
PMT1173,chaperon-like protein for quinone binding in photosystem II,82.01,48.01,0.333426675,-0.772464901
PMT2147,hypothetical protein,94.01,55.01,0.325569259,-0.773120324
PMT1497,aldo/keto reductase,53.01,31.01,0.26013681,-0.773531015
PMT0191,aldehyde dehydrogenase,65.01,38.01,0.339898414,-0.774282629
PMT1574,membrane permease or ABC transporter component,12.01,7.01,1,-0.776749802
PMT0159,hypothetical protein,24.01,14.01,0.441689756,-0.777178448
PMT2253,formyltetrahydrofolate deformylase,36.01,21.01,0.324302206,-0.777321438
PMT0427,NAD(P)H-quinone oxidoreductase subunit 4,144.01,84.01,0.306074386,-0.777536023
PMT1466,F0F1 ATP synthase subunit gamma,889.01,518.01,0.929138013,-0.779219698
PMT0895,hypothetical protein,146.01,85.01,0.323466327,-0.780362715
PMT2010,NAD(P)H-quinone oxidoreductase subunit 4,122.01,71.01,0.312514062,-0.780905285
PMT0512,hypothetical protein,86.01,50.01,0.26180572,-0.7822878
PMT1310,hypothetical protein,112.01,65.01,0.343564712,-0.784893979
PMT1378,3'-phosphoadenosine-5'-phosphosulfate (PAPS) 3'-phosphatase,38.01,22.01,0.318109843,-0.78821988
PMT0331,acetylornithine aminotransferase,57.01,33.01,0.308830115,-0.788311863
PMT2172,"Fatty acid desaturase, type 1",280.01,162.01,0.336882748,-0.789395485
PMT0557,hypothetical protein,97.01,56.01,0.268751675,-0.792449043
PMT1363,hypothetical protein,149.01,86.01,0.362715293,-0.792832842
PMT0188,hypothetical protein,26.01,15.01,0.336882748,-0.793142422
