locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point
PMM1623,2,3.39,0.08,0.05,0.00,"DNA replication, recombination, and repair",single-stranded DNA-binding protein,12h
PMM1625,2,1.37,0.70,0.49,0.52,Amino acids and amines,putative adenosylhomocysteinase,12h
PMM1626,2,2.53,1.13,0.80,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1629,2,0.93,0.51,0.36,0.64,Transport and binding proteins,"Type II alternative RNA polymerase sigma factor, sigma-70 family",12h
PMM1630,2,-0.58,0.07,0.05,0.90,Transport and binding proteins,"MgtE family, putative magnesium transport protein",12h
PMM1634,2,1.76,0.67,0.47,0.12,"DNA replication, recombination, and repair","DNA gyrase, subunit B",12h
PMM1635,2,-1.11,0.20,0.14,0.21,Aminoacyl tRNA synthetases and tRNA modification,tRNA delta-2-isopentenylpyrophosphate (IPP) transferase,12h
PMM1636,2,-0.72,0.52,0.37,0.50,Protein modification and translation factors,Translation Initiation factor 3,12h
PMM1639,2,-0.16,0.27,0.19,0.64,Protein and peptide secretion,Preprotein translocase SecA subunit,12h
PMM1640,2,0.01,1.92,1.36,0.98,Regulatory functions,"putative acetyltransferase, GNAT family",12h
PMM1642,2,0.75,0.04,0.03,1.00,Regulatory functions,possible transcription regulator,12h
PMM1643,2,-0.70,0.56,0.40,0.27,Riboflavin,"Putative 6,7-dimethyl-8-ribityllumazine synthase or riboflavin synthase beta chain",12h
PMM1644,2,-2.09,0.92,0.65,0.00,Photosystem II,possible Photosystem II reaction center Z protein (PsbZ),12h
PMM1648,2,0.97,0.21,0.15,0.92,Branched chain family,Aspartate kinase,12h
PMM1649,2,1.15,0.67,0.47,0.46,"DNA replication, recombination, and repair",Excinuclease ABC subunit B (UvrB),12h
PMM1650,2,-1.53,0.21,0.15,0.07,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1652,2,0.81,0.68,0.48,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1653,2,0.18,0.12,0.09,0.73,Aspartate family,Dihydrodipicolinate synthetase,12h
PMM1655,2,-1.04,1.24,0.88,0.17,Other,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),12h
PMM1656,2,-0.64,1.63,1.15,0.57,"Degradation of proteins, peptides, and glycopeptides Clp protease proteolytic subunit",,12h
PMM1657,2,0.37,0.85,0.60,0.74,"Degradation of proteins, peptides, and glycopeptides Clp protease ATP-binding subunit, ClpX",,12h
PMM1661,2,-2.05,1.33,0.94,0.00,Ribosomal proteins,50S ribosomal protein L35,12h
PMM1662,2,-1.24,1.10,0.78,0.18,Ribosomal proteins,50S ribosomal protein L20,12h
PMM1665,2,-0.86,1.14,0.80,0.33,"Fatty acid, phospholipid and sterol metabolism",sulfolipid (UDP-sulfoquinovose) biosynthesis protein,12h
PMM1667,2,1.06,0.26,0.18,0.58,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1669,2,2.91,0.41,0.29,0.00,Regulatory functions,putative Glycine cleavage H-protein,12h
PMM1671,2,0.59,0.74,0.52,0.96,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1672,2,1.59,0.07,0.05,0.15,"Fatty acid, phospholipid and sterol metabolism","Fatty acid desaturase, type 1",12h
PMM1673,2,0.42,0.94,0.66,0.85,Ribosomal proteins,50S ribosomal protein L9,12h
PMM1676,2,0.46,0.93,0.66,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1678,2,2.21,0.81,0.57,0.02,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1680,2,3.15,0.78,0.55,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1683,2,-0.33,0.36,0.26,0.64,Conserved hypothetical protein,conserved hypothetical,12h
PMM1685,2,1.80,0.43,0.31,0.07,Regulatory functions,putative spermidine synthase,12h
PMM1688,2,-0.18,0.05,0.03,0.71,Aminoacyl tRNA synthetases and tRNA modification,Aspartyl-tRNA synthetase,12h
PMM1689,2,1.52,1.09,0.77,0.33,Pyrimidine ribonucleotide biosynthesis,Glutamine amidotransferase class-I:CTP synthase,12h
PMM1694,2,1.19,1.53,1.08,0.40,"Cobalamin, heme, phycobilin and porphyrin",putative uroporphyrin-III C-methyltransferase,12h
PMM1697,2,-0.02,0.11,0.08,1.00,Transport and binding proteins,"Type II alternative RNA polymerase sigma factor, sigma-70 family",12h
PMM1700,2,2.96,0.64,0.45,0.00,Other,Aconitate hydratase B,12h
PMM1702,2,-0.16,0.15,0.11,0.64,Purine ribonucleotide biosynthesis,formyltetrahydrofolate deformylase,12h
PMM1703,2,0.89,0.20,0.14,0.57,Transport and binding proteins,NAD binding site:D-amino acid oxidase,12h
PMM1704,2,-1.74,0.28,0.20,0.11,Chaperones,"Molecular chaperone DnaK2, heat shock protein hsp70-2",12h
PMM1706,2,-4.65,3.37,2.38,0.00,Ribosomal proteins,30S ribosomal protein S6,12h
PMM1707,2,0.40,0.09,0.07,0.80,Glutamate family / Nitrogen assimilation,Argininosuccinate synthase,12h
PMM1708,2,0.87,0.01,0.01,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1716,2,0.04,1.21,0.86,0.69,Aspartate family,No Cyanobase Name,12h
PMM1717,2,-2.23,0.21,0.15,0.58,Other,No Cyanobase Name,12h
PMM1718,2,0.81,1.17,0.83,0.75,Other,No Cyanobase Name,12h
