Supplementary Table S4. Relative enrichment of proteins in vesicles vs. parent cells. Ratios are based on biovolume-normalized protein spectral counts from Trypsin/Lys-C based proteomes only (data from Supplementary Table S2).,,,,,,,,
,,,,,,,,
Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts)
MIT9313,Q7V6D8,Q7V6D8_PROMM Putative GTP cyclohydrolase I OS=Prochlorococcus marinus (strain MIT 9313) GN=folE PE=4 SV=1,GTP cyclohydrolase,Cytoplasm,H,3.37E-08,4.41E-10,-6.254949199
MIT9313,Q7V999,RL20_PROMM 50S ribosomal protein L20 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplT PE=3 SV=1,50S ribosomal protein L20,Cytoplasm,J,3.37E-08,4.41E-10,-6.254949199
MIT9313,Q7V7X8,Q7V7X8_PROMM Glutamine synthetase OS=Prochlorococcus marinus (strain MIT 9313) GN=glnA PE=3 SV=1,type I glutamate--ammonia ligase,Cytoplasm,E,3.88E-07,5.07E-09,-6.256342435
MIT9313,Q7TUS8,Q7TUS8_PROMM 2Fe-2S Ferredoxin:Ferredoxin OS=Prochlorococcus marinus (strain MIT 9313) GN=petF PE=4 SV=1,ferredoxin,Unknown,C,1.43E-06,1.85E-08,-6.269380068
MIT9313,Q7V5M6,Q7V5M6_PROMM Transcription termination/antitermination protein NusA OS=Prochlorococcus marinus (strain MIT 9313) GN=nusA PE=3 SV=1,hypothetical protein,Cytoplasm,K,1.88E-07,2.42E-09,-6.275208038
MIT9312,Q31C51,"Q31C51_PROM9 SPFH domain, Band 7 family protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0483 PE=4 SV=1",membrane protease subunit%2C stomatin/prohibitin,Unknown,S,1.12E-07,1.44E-09,-6.277546607
MIT9313,Q7V4Y8,Q7V4Y8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1796 PE=4 SV=1,NA,Unknown,S,1.20E-07,1.54E-09,-6.277669277
MIT9313,Q7V5W0,CY550_PROMM Cytochrome c-550 OS=Prochlorococcus marinus (strain MIT 9313) GN=psbV PE=3 SV=1,cytochrome c550,Thylakoid membrane,C,4.11E-07,5.29E-09,-6.278795942
MIT9313,Q7TV26,TRPA_PROMM Tryptophan synthase alpha chain OS=Prochlorococcus marinus (strain MIT 9313) GN=trpA PE=3 SV=1,tryptophan synthase subunit alpha,Cytoplasm,E,1.72E-08,2.20E-10,-6.28665806
MIT9313,Q7V8M5,ILVC_PROMM Ketol-acid reductoisomerase (NADP(+)) OS=Prochlorococcus marinus (strain MIT 9313) GN=ilvC PE=3 SV=1,ketol-acid reductoisomerase,Cytoplasm,E,2.27E-07,2.87E-09,-6.305830368
MIT9313,Q7V4G4,Q7V4G4_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=rpaA PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,5.24E-08,6.61E-10,-6.307416619
MIT9313,Q7TV22,"Q7TV22_PROMM Bacterial regulatory proteins, Crp family OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0497 PE=4 SV=1",transcriptional regulator,Cytoplasm,K,3.52E-08,4.41E-10,-6.317684955
MIT9313,Q7V620,Q7V620_PROMM Similar to chloroplast membrane-associated 30 kD protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1361 PE=4 SV=1,membrane protein,Inner membrane,T,1.23E-07,1.54E-09,-6.322063395
MIT9313,Q7V922,Q7V922_PROMM Rod shape determining protein OS=Prochlorococcus marinus (strain MIT 9313) GN=mreB PE=4 SV=1,rod shape-determining protein,Cytoplasm,D,5.39E-08,6.61E-10,-6.348058604
MIT9313,Q7V751,Q7V751_PROMM Possible Octicosapeptide repeat OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0907 PE=4 SV=1,hypothetical protein,Inner membrane,S,1.80E-08,2.20E-10,-6.348058604
MIT9313,Q7V936,Q7V936_PROMM Glutathione peroxidase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0125 PE=3 SV=1,glutathione peroxidase,Cytoplasm,O,9.05E-08,1.10E-09,-6.360031245
MIT9313,Q7V5S7,ATPA_PROMM ATP synthase subunit alpha OS=Prochlorococcus marinus (strain MIT 9313) GN=atpA PE=3 SV=1,ATP synthase subunit alpha,Thylakoid membrane,C,4.92E-07,5.95E-09,-6.370152375
MIT9313,Q7TV11,PSB28_PROMM Photosystem II reaction center Psb28 protein OS=Prochlorococcus marinus (strain MIT 9313) GN=psb28 PE=3 SV=1,photosystem II reaction center Psb28 protein,Thylakoid membrane,H,3.67E-08,4.41E-10,-6.377805947
MIT9313,Q7V5W5,RL21_PROMM 50S ribosomal protein L21 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplU PE=3 SV=1,50S ribosomal protein L21,Cytoplasm,J,9.20E-08,1.10E-09,-6.383682513
MIT9313,Q7V7F3,Q7V7F3_PROMM Ribonucleotide reductase (Class II) OS=Prochlorococcus marinus (strain MIT 9313) GN=nrdJ PE=4 SV=1,ribonucleoside-triphosphate reductase%2C adenosylcobalamin-dependent,Cytoplasm,F,1.30E-07,1.54E-09,-6.398684677
MIT9313,Q7V667,Q7V667_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1307 PE=4 SV=1,hypothetical protein,Unknown,S,3.74E-08,4.41E-10,-6.406952293
MIT9313,Q7V870,Q7V870_PROMM Ferritin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0499 PE=3 SV=1,ferritin,Cytoplasm,P,1.13E-07,1.32E-09,-6.416538342
MIT9313,Q7V991,TIG_PROMM Trigger factor OS=Prochlorococcus marinus (strain MIT 9313) GN=tig PE=3 SV=1,trigger factor,Cytoplasm,O,1.70E-07,1.98E-09,-6.419719589
MIT9313,Q7V6F7,CCMK_PROMM Carbon dioxide-concentrating mechanism protein CcmK OS=Prochlorococcus marinus (strain MIT 9313) GN=ccmK PE=1 SV=1,carbon dioxide-concentrating mechanism protein CcmK,Unknown,E,2.09E-07,2.42E-09,-6.427785797
MIT9313,Q7V542,RL3_PROMM 50S ribosomal protein L3 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplC PE=3 SV=1,50S ribosomal protein L3,Cytoplasm,J,1.94E-07,2.20E-09,-6.457976296
MIT9313,Q7V7B7,Q7V7B7_PROMM Possible UBA/TS-N domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0832 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,1.95E-08,2.20E-10,-6.463535821
MIT9313,Q7V817,Q7V817_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0557 PE=4 SV=1,Secreted pentapeptide repeats protein,Unknown,S,7.86E-08,8.82E-10,-6.477341621
MIT9313,Q7V8F6,COMB_PROMM Probable 2-phosphosulfolactate phosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=comB PE=3 SV=1,2-phosphosulfolactate phosphatase,Unknown,C,5.91E-08,6.61E-10,-6.481914351
MIT9313,Q7V547,RECA_PROMM Protein RecA OS=Prochlorococcus marinus (strain MIT 9313) GN=recA PE=3 SV=1,DNA recombination/repair protein RecA,Cytoplasm,L,1.00E-07,1.10E-09,-6.507257198
MIT9313,Q7V8J4,Q7V8J4_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0352 PE=3 SV=1,membrane protein,Inner membrane,S,4.04E-08,4.41E-10,-6.517983605
MIT9313,Q7V535,RL29_PROMM 50S ribosomal protein L29 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpmC PE=3 SV=1,50S ribosomal protein L29,Cytoplasm,J,6.06E-08,6.61E-10,-6.517983605
MIT9313,Q7V6C1,RRF_PROMM Ribosome-recycling factor OS=Prochlorococcus marinus (strain MIT 9313) GN=frr PE=3 SV=1,ribosome recycling factor,Cytoplasm,J,6.06E-08,6.61E-10,-6.517983605
MIT9312,Q31AB2,"Q31AB2_PROM9 Two component transcriptional regulator, winged helix family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1124 PE=4 SV=1",DNA-binding response regulator,Cytoplasm,T,3.69E-08,3.92E-10,-6.555557585
MIT9312,Q31DA7,Q31DA7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0077 PE=4 SV=1,hypothetical protein,Outer membrane,S,8.68E-08,9.15E-10,-6.567053224
MIT9313,Q7TUI3,Q7TUI3_PROMM Threonine synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=thrC PE=3 SV=1,threonine synthase,Cytoplasm,E,4.19E-08,4.41E-10,-6.570451025
MIT9313,Q7V833,Q7V833_PROMM Phosphoribosylformylglycinamidine synthase subunit PurS OS=Prochlorococcus marinus (strain MIT 9313) GN=purS PE=3 SV=1,phosphoribosylformylglycinamidine synthase subunit PurS,Unknown,F,2.09E-08,2.20E-10,-6.570451025
MIT9313,Q7V8M3,Q7V8M3_PROMM ATP-dependent Clp protease proteolytic subunit OS=Prochlorococcus marinus (strain MIT 9313) GN=clpP4 PE=3 SV=1,ATP-dependent Clp protease proteolytic subunit,Cytoplasm,O,6.36E-08,6.61E-10,-6.587524539
MIT9312,Q31CR9,Q31CR9_PROM9 Ammonium transporter OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0265 PE=3 SV=1,ammonium transporter,Inner membrane,P,1.27E-08,1.31E-10,-6.601000555
MIT9313,Q7V461,PGK_PROMM Phosphoglycerate kinase OS=Prochlorococcus marinus (strain MIT 9313) GN=pgk PE=3 SV=1,phosphoglycerate kinase,Cytoplasm,G,1.93E-07,1.98E-09,-6.604398357
MIT9313,Q7V7P2,Q7V7P2_PROMM Heat shock protein HtpG OS=Prochlorococcus marinus (strain MIT 9313) GN=htpG PE=4 SV=1,molecular chaperone HtpG,Cytoplasm,O,1.51E-07,1.54E-09,-6.613952664
MIT9312,Q318V6,CH602_PROM9 60 kDa chaperonin 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=groL2 PE=3 SV=1,Chaperonin GroEL,Cytoplasm,O,7.84E-07,7.98E-09,-6.619037895
MIT9313,Q7V6T5,Q7V6T5_PROMM Diaminopimelate decarboxylase OS=Prochlorococcus marinus (strain MIT 9313) GN=lysA PE=3 SV=1,diaminopimelate decarboxylase,Cytoplasm,E,2.17E-08,2.20E-10,-6.621077098
MIT9313,Q7V5K4,Q7V5K4_PROMM Alternative thymidylate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=thyX PE=4 SV=1,FAD-dependent thymidylate synthase,Unknown,F,2.17E-08,2.20E-10,-6.621077098
MIT9313,Q7V529,RS5_PROMM 30S ribosomal protein S5 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsE PE=3 SV=1,30S ribosomal protein S5,Cytoplasm,J,1.31E-07,1.32E-09,-6.629344714
MIT9313,Q7TV47,Q7TV47_PROMM Cell division protein FtsZ OS=Prochlorococcus marinus (strain MIT 9313) GN=ftsZ PE=3 SV=1,cell division protein FtsZ,Cytoplasm,D,1.32E-07,1.32E-09,-6.637565222
MIT9313,Q7V413,Q7V413_PROMM Possible reductase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2167 PE=4 SV=1,reductase,Periplasm,S,8.83E-08,8.82E-10,-6.645739153
MIT9312,Q319K1,Q319K1_PROM9 Pyruvate dehydrogenase E1 component subunit alpha OS=Prochlorococcus marinus (strain MIT 9312) GN=pdhA PE=4 SV=1,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,Cytoplasm,C,2.63E-08,2.61E-10,-6.650469232
MIT9312,Q319M7,Q319M7_PROM9 ATP-dependent zinc metalloprotease FtsH OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsH PE=3 SV=1,cell division protein FtsH,Inner membrane,O,1.19E-07,1.18E-09,-6.663022282
MIT9313,Q7V7Q7,Q7V7Q7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0681 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,4.49E-08,4.41E-10,-6.669986699
MIT9313,Q7V6A4,Q7V6A4_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1265 PE=4 SV=1,single-stranded DNA-binding protein,Unknown,L,2.24E-08,2.20E-10,-6.669986699
MIT9313,Q7V759,Q7V759_PROMM Putative sulfate transporter OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0899 PE=4 SV=1,sodium-independent anion transporter,Inner membrane,P,2.24E-08,2.20E-10,-6.669986699
MIT9313,Q7V8J6,Q7V8J6_PROMM Signal recognition particle protein OS=Prochlorococcus marinus (strain MIT 9313) GN=ffh PE=3 SV=1,signal recognition particle protein,Inner membrane,U,6.81E-08,6.61E-10,-6.685928243
MIT9313,Q7V483,ENO_PROMM Enolase OS=Prochlorococcus marinus (strain MIT 9313) GN=eno PE=3 SV=1,hypothetical protein,Cytoplasm,G,1.14E-07,1.10E-09,-6.689095522
MIT9313,Q7V4J4,Q7V4J4_PROMM Transketolase OS=Prochlorococcus marinus (strain MIT 9313) GN=cbbT PE=3 SV=1,transketolase,Cytoplasm,G,6.84E-07,6.61E-09,-6.692255863
MIT9312,Q31D47,"Q31D47_PROM9 Two component transcriptional regulator, winged helix family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0136 PE=4 SV=1",DNA-binding response regulator,Cytoplasm,T,2.72E-08,2.61E-10,-6.698297757
MIT9312,Q31C50,"GSA_PROM9 Glutamate-1-semialdehyde 2,1-aminomutase OS=Prochlorococcus marinus (strain MIT 9312) GN=hemL PE=3 SV=1",glutamate-1-semialdehyde 2%2C1-aminomutase,Cytoplasm,H,8.15E-08,7.84E-10,-6.698297757
MIT9313,Q7V9D6,Q7V9D6_PROMM RNA-binding region RNP-1 (RNA recognition motif) OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0014 PE=4 SV=1,RNA-binding protein,Unknown,S,1.61E-07,1.54E-09,-6.703934031
MIT9313,Q7TUK2,Q7TUK2_PROMM Possible Formyl transferase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2134 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,4.64E-08,4.41E-10,-6.717292414
MIT9313,Q7V4N4,Q7V4N4_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1915 PE=4 SV=1,hypothetical protein,Unknown,S,9.35E-08,8.82E-10,-6.728880388
MIT9313,Q7V5E8,Q7V5E8_PROMM Phosphoglucomutase OS=Prochlorococcus marinus (strain MIT 9313) GN=pgm PE=4 SV=1,alpha-D-glucose phosphate-specific phosphoglucomutase,Cytoplasm,G,9.43E-08,8.82E-10,-6.740376027
MIT9313,Q7TUV5,LEU1_PROMM 2-isopropylmalate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=leuA PE=3 SV=1,2-isopropylmalate synthase,Cytoplasm,E,4.71E-08,4.41E-10,-6.740376027
MIT9313,Q7V4F8,Q7V4F8_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=rpaB PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,4.71E-08,4.41E-10,-6.740376027
MIT9313,Q7V6D2,"Q7V6D2_PROMM 30S ribosomal protein S1 homolog B, putative Nbp1 OS=Prochlorococcus marinus (strain MIT 9313) GN=nbp1 PE=4 SV=1",30S ribosomal protein S1,Cytoplasm,J,7.11E-08,6.61E-10,-6.747989211
MIT9312,Q31CC0,Q31CC0_PROM9 NifU-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0414 PE=4 SV=1,Thioredoxin family protein,Unknown,S,2.83E-08,2.61E-10,-6.759698301
MIT9313,Q7V798,Q7V798_PROMM Large-conductance mechanosensitive channel OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0856 PE=3 SV=1,large mechanosensitive ion channel protein MscL,Inner membrane,S,4.79E-08,4.41E-10,-6.763096103
MIT9313,Q7V4L5,Q7V4L5_PROMM Isocitrate dehydrogenase [NADP] OS=Prochlorococcus marinus (strain MIT 9313) GN=icd PE=4 SV=1,isocitrate dehydrogenase (NADP(+)),Cytoplasm,C,7.18E-08,6.61E-10,-6.763096103
MIT9313,Q7TUQ7,"Q7TUQ7_PROMM ABC Transporter, ATP binding component OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1605 PE=4 SV=1",ABC transporter ATP-binding protein,Cytoplasm,O,4.86E-08,4.41E-10,-6.785463916
MIT9312,Q31CK7,Q31CK7_PROM9 Site-determining protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0327 PE=3 SV=1,septum site-determining protein MinD,Inner membrane,D,1.45E-08,1.31E-10,-6.789445645
MIT9313,Q7V501,EFG_PROMM Elongation factor G OS=Prochlorococcus marinus (strain MIT 9313) GN=fusA PE=3 SV=1,elongation factor G,Cytoplasm,J,2.69E-07,2.42E-09,-6.791504518
MIT9313,Q7V7M2,Q7V7M2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0719 PE=4 SV=1,hypothetical protein,Unknown,S,2.47E-08,2.20E-10,-6.807490223
MIT9313,Q7V4Z9,RS10_PROMM 30S ribosomal protein S10 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsJ PE=3 SV=1,30S ribosomal protein S10,Cytoplasm,J,1.01E-07,8.82E-10,-6.8399117
MIT9312,Q319D5,Q319D5_PROM9 Ferredoxin (2Fe-2S) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1450 PE=4 SV=1,ferredoxin,Unknown,C,2.27E-07,1.96E-09,-6.852807706
MIT9313,Q7V7L8,Q7V7L8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0723 PE=4 SV=1,diguanylate cyclase,Cytoplasm,S,5.16E-08,4.41E-10,-6.87162056
MIT9313,Q7V6R5,Q7V6R5_PROMM RNA-binding protein RbpD OS=Prochlorococcus marinus (strain MIT 9313) GN=rbpD PE=4 SV=1,RNA-binding protein,Unknown,S,1.55E-07,1.32E-09,-6.871620561
MIT9313,Q7V5U2,ATPB_PROMM ATP synthase subunit beta OS=Prochlorococcus marinus (strain MIT 9313) GN=atpD PE=3 SV=1,ATP synthase subunit beta,Thylakoid membrane,C,4.93E-07,4.19E-09,-6.879303245
MIT9313,Q7V500,EFTU_PROMM Elongation factor Tu OS=Prochlorococcus marinus (strain MIT 9313) GN=tuf PE=3 SV=1,elongation factor Tu,Cytoplasm,J,1.12E-06,9.48E-09,-6.880829799
MIT9313,Q7V583,PANCY_PROMM Bifunctional pantoate ligase/cytidylate kinase OS=Prochlorococcus marinus (strain MIT 9313) GN=panC/cmk PE=3 SV=1,cytidylate kinase,Cytoplasm,F,5.24E-08,4.41E-10,-6.89237912
MIT9313,Q7V781,Q7V781_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0874 PE=4 SV=1,hypothetical protein,Cytoplasm,S,2.62E-08,2.20E-10,-6.89237912
MIT9313,Q7V8K8,Q7V8K8_PROMM Dihydrolipoyl dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=lpdA PE=4 SV=1,dihydrolipoyl dehydrogenase,Cytoplasm,C,1.06E-07,8.82E-10,-6.912843222
MIT9313,Q7TUY7,Q7TUY7_PROMM Putative O-Acetyl homoserine sulfhydrylase OS=Prochlorococcus marinus (strain MIT 9313) GN=cysD PE=3 SV=1,O-acetylhomoserine aminocarboxypropyltransferase,Cytoplasm,E,1.33E-07,1.10E-09,-6.916901439
MIT9312,Q31DF7,Q31DF7_PROM9 Biotin carboxyl carrier protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0027 PE=4 SV=1,acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Unknown,I,6.35E-08,5.23E-10,-6.922928651
MIT9313,Q7V476,RL7_PROMM 50S ribosomal protein L7/L12 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplL PE=3 SV=1,50S ribosomal protein L7/L12,Cytoplasm,J,1.07E-07,8.82E-10,-6.922967439
MIT9313,Q7V577,Q7V577_PROMM TPR repeat OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1695 PE=4 SV=1,Tfp pilus assembly protein PilF,Unknown,S,2.69E-08,2.20E-10,-6.933021105
MIT9313,Q7V528,RL15_PROMM 50S ribosomal protein L15 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplO PE=3 SV=1,50S ribosomal protein L15,Cytoplasm,J,1.08E-07,8.82E-10,-6.933021105
MIT9313,Q7V3T5,DNAK2_PROMM Chaperone protein dnaK2 OS=Prochlorococcus marinus (strain MIT 9313) GN=dnaK2 PE=3 SV=1,chaperone protein dnaK2,Cytoplasm,O,1.22E-06,9.92E-09,-6.939241542
MIT9312,Q319D7,Q319D7_PROM9 Pentapeptide repeat-containing protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1448 PE=4 SV=1,Secreted pentapeptide repeats protein,Extracellular,S,5.35E-07,4.31E-09,-6.954504892
MIT9313,Q7V6A7,Q7V6A7_PROMM Possible carbohydrate kinase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1262 PE=4 SV=1,carbohydrate kinase,Unknown,G,2.77E-08,2.20E-10,-6.972549469
MIT9313,Q7V532,RS8_PROMM 30S ribosomal protein S8 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsH PE=3 SV=1,30S ribosomal protein S8,Cytoplasm,J,8.45E-08,6.61E-10,-6.998312565
MIT9312,Q31DH1,Q31DH1_PROM9 RNA-binding region RNP-1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0013 PE=4 SV=1,RNA-binding protein,Unknown,S,1.00E-07,7.84E-10,-6.999164236
MIT9313,Q7V8V4,Q7V8V4_PROMM Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Prochlorococcus marinus (strain MIT 9313) GN=pdhC PE=3 SV=1,branched-chain alpha-keto acid dehydrogenase subunit E2,Cytoplasm,C,8.83E-08,6.61E-10,-7.060776652
MIT9313,Q7V7P3,RL28_PROMM 50S ribosomal protein L28 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpmB PE=3 SV=1,50S ribosomal protein L28,Cytoplasm,J,5.91E-08,4.41E-10,-7.066876851
MIT9313,Q7V5A4,"Q7V5A4_PROMM 30S ribosomal protein S1, homolog A OS=Prochlorococcus marinus (strain MIT 9313) GN=rps1a PE=4 SV=1",30S ribosomal protein S1,Cytoplasm,J,1.80E-07,1.32E-09,-7.091022939
MIT9313,Q7V5G9,Q7V5G9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1591 PE=4 SV=1,hypothetical protein,Outer membrane,S,9.05E-08,6.61E-10,-7.09699684
MIT9312,Q31CG1,Q31CG1_PROM9 Endonuclease OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0373 PE=4 SV=1,DNA helicase,Unknown,S,3.63E-08,2.61E-10,-7.117250306
MIT9313,Q7V541,RL4_PROMM 50S ribosomal protein L4 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplD PE=3 SV=1,50S ribosomal protein L4,Cytoplasm,J,1.24E-07,8.82E-10,-7.138135534
MIT9313,Q7V479,RL11_PROMM 50S ribosomal protein L11 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplK PE=3 SV=1,50S ribosomal protein L11,Cytoplasm,J,6.21E-08,4.41E-10,-7.138135535
MIT9312,Q31C83,CH601_PROM9 60 kDa chaperonin 1 OS=Prochlorococcus marinus (strain MIT 9312) GN=groL1 PE=3 SV=1,molecular chaperone GroEL,Cytoplasm,O,2.06E-07,1.44E-09,-7.164452828
MIT9313,Q7TUS2,ATPE_PROMM ATP synthase epsilon chain OS=Prochlorococcus marinus (strain MIT 9313) GN=atpC PE=3 SV=1,ATP synthase epsilon chain,Thylakoid membrane,C,3.22E-08,2.20E-10,-7.189360858
MIT9312,Q31B11,PSB28_PROM9 Photosystem II reaction center Psb28 protein OS=Prochlorococcus marinus (strain MIT 9312) GN=psb28 PE=3 SV=1,photosystem II reaction center Psb28 protein,Thylakoid membrane,H,1.92E-08,1.31E-10,-7.197103614
MIT9313,Q7V643,CH601_PROMM 60 kDa chaperonin 1 OS=Prochlorococcus marinus (strain MIT 9313) GN=groL1 PE=3 SV=1,molecular chaperone GroEL,Cytoplasm,O,1.10E-06,7.27E-09,-7.237355139
MIT9313,Q7V4J7,PSAC_PROMM Photosystem I iron-sulfur center OS=Prochlorococcus marinus (strain MIT 9313) GN=psaC PE=3 SV=3,photosystem I iron-sulfur center,Thylakoid membrane,C,3.36E-07,2.20E-09,-7.251739643
MIT9312,Q31DB9,Q31DB9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0065 PE=4 SV=1,hypothetical protein,Outer membrane,S,2.01E-08,1.31E-10,-7.262198642
MIT9313,Q7V6B4,Q7V6B4_PROMM Possible alpha-ribazole-5'-P phosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=cobC PE=3 SV=1,histidine phosphatase,Cytoplasm,G,3.44E-08,2.20E-10,-7.286658059
MIT9313,Q7V4J5,Q7V4J5_PROMM 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Prochlorococcus marinus (strain MIT 9313) GN=fabF PE=3 SV=1,hypothetical protein,Inner membrane,I,6.96E-08,4.41E-10,-7.302254914
MIT9313,Q7TTH9,Q7TTH9_PROMM Possible Kinesin motor domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0956 PE=4 SV=1,guanylate-binding protein,Unknown,S,1.05E-07,6.61E-10,-7.307416619
MIT9312,Q31CV3,Q31CV3_PROM9 Photosystem II manganese-stabilizing protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0230 PE=4 SV=1,photosystem II manganese-stabilizing protein,Cytoplasm,M,8.02E-07,4.97E-09,-7.334076052
MIT9312,Q319K2,Q319K2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1383 PE=4 SV=1,molecular chaperone DnaJ,Unknown,S,6.52E-08,3.92E-10,-7.37767586
MIT9313,Q7V946,"Q7V946_PROMM dTDP-4-dehydrorhamnose 3,5-epimerase OS=Prochlorococcus marinus (strain MIT 9313) GN=rfbC PE=4 SV=1",dTDP-4-dehydrorhamnose 3%2C5-epimerase,Unknown,M,3.67E-08,2.20E-10,-7.377805948
MIT9312,Q318D2,Q318D2_PROM9 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1702 PE=3 SV=1,beta-ketoacyl-[acyl-carrier-protein] synthase II,Inner membrane,I,4.37E-08,2.61E-10,-7.384189167
MIT9313,Q7V4R5,Q7V4R5_PROMM Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Prochlorococcus marinus (strain MIT 9313) GN=fabI PE=3 SV=1,enoyl-[acyl-carrier-protein] reductase,Inner membrane,I,1.11E-07,6.61E-10,-7.387586968
MIT9312,Q317S5,Q317S5_PROM9 Threonine synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1808 PE=3 SV=1,threonine synthase,Cytoplasm,E,4.40E-08,2.61E-10,-7.393904321
MIT9312,Q31CL6,Q31CL6_PROM9 SSU ribosomal protein S1P OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0318 PE=4 SV=1,30S ribosomal protein S1,Cytoplasm,J,8.88E-08,5.23E-10,-7.408355478
